"Nombre del proyecto","Drivania"
"Intervalo de fechas","04/12/2026 00:00 - 05/11/2026 23:59"


"Dirección URL visitada es exactamente","https://drivania.com/es/"
"Dispositivo:","PC"

"Total de sesiones","30"

"Dirección URL visitada es exactamente","https://drivania.com/es/"
"Dispositivo:","PC"

"Fecha","Hora","Duración de la sesión","Dirección URL de entrada","Dirección URL de salida","Referente:","Id. de usuario de Clarity","Explorador","Dispositivo","Sistema operativo","País","Recuento de páginas","Clics en la sesión","Favorito","Vínculo de grabación"
"05/11/2026","17:42","12:47","https://drivania.com/es/","https://drivania.com/es/","","tecr4z","Chrome","PC","Windows","Spain","4","4","FALSO","https://clarity.microsoft.com/player/rkek067fvd/tecr4z/1qpsq1i/?ss=1778514138000&sd=767"
"05/11/2026","17:32","05:04","https://drivania.com/es/","https://accounts.drivania.com/sign-in","","1qshqe3","Chrome","PC","Windows","Spain","2","2","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1qshqe3/15ih5fq/?ss=1778513566000&sd=304"
"05/11/2026","17:32","00:01","https://drivania.com/es/","https://drivania.com/es/","","xeuy4q","Chrome","PC","Windows","Spain","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/xeuy4q/1qenv4b/?ss=1778513557000&sd=1"
"05/11/2026","17:19","06:40","https://drivania.com/es/","https://drivania.com/es/","https://www.google.com/","q31iio","Chrome","PC","Windows","Mexico","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/q31iio/vglmca/?ss=1778512797000&sd=400"
"05/11/2026","17:14","05:11","https://drivania.com/es/","https://drivania.com/es/","https://drivania.com/es/experiencias/","17w6fze","Chrome","PC","MacOS","Mexico","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/17w6fze/1eqjol/?ss=1778512445000&sd=311"
"05/11/2026","16:47","34:04","https://drivania.com/es/","https://drivania.com/es/","","1mkz7nm","Chrome","PC","MacOS","Spain","8","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1mkz7nm/1oekq07/?ss=1778510821000&sd=2044"
"05/11/2026","14:42","20:37","https://drivania.com/es/","https://drivania.com/es/","","1mkz7nm","Chrome","PC","MacOS","Spain","3","1","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1mkz7nm/fxviqa/?ss=1778503352000&sd=1237"
"05/11/2026","14:37","02:09","https://drivania.com/es/","https://accounts.drivania.com/sign-in","","tecr4z","Chrome","PC","Windows","Spain","2","2","FALSO","https://clarity.microsoft.com/player/rkek067fvd/tecr4z/hnmgof/?ss=1778503029000&sd=129"
"05/11/2026","14:15","00:02","https://drivania.com/es/","https://drivania.com/es/","https://www.google.com/","1mp0y1","Chrome","PC","MacOS","Spain","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1mp0y1/1ce1nlz/?ss=1778501729000&sd=2"
"05/11/2026","13:50","06:02","https://drivania.com/es/","https://drivania.com/es/","","1dpskby","Chrome","PC","MacOS","Spain","1","1","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1dpskby/zpdvv6/?ss=1778500248000&sd=362"
"05/11/2026","13:33","00:01","https://drivania.com/es/","https://drivania.com/es/","","14pui8u","Chrome","PC","MacOS","Spain","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/14pui8u/1tar0h1/?ss=1778499220000&sd=1"
"05/11/2026","12:59","00:19","https://drivania.com/es/","https://drivania.com/es/","https://www.google.com/","qx5fcl","Chrome","PC","Windows","Spain","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/qx5fcl/1msbr2s/?ss=1778497157000&sd=19"
"05/11/2026","12:50","05:02","https://drivania.com/es/","https://drivania.com/es/","https://drivania.com/es/experiencias/","1mp0y1","Chrome","PC","MacOS","Spain","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1mp0y1/g183cn/?ss=1778496606000&sd=302"
"05/11/2026","12:06","24:51","https://drivania.com/es/","https://drivania.com/es/","https://www.google.com/","e2ktg7","Chrome","PC","MacOS","Spain","3","2","FALSO","https://clarity.microsoft.com/player/rkek067fvd/e2ktg7/16u3zz0/?ss=1778493985000&sd=1491"
"05/11/2026","11:22","00:33","https://drivania.com/es/","https://drivania.com/es/","","gyfpqa","Chrome","PC","Windows","Spain","1","1","FALSO","https://clarity.microsoft.com/player/rkek067fvd/gyfpqa/6krqfh/?ss=1778491368000&sd=33"
"05/11/2026","10:25","05:13","https://drivania.com/es/","https://accounts.drivania.com/sign-in","https://www.google.com/","gomqr4","Chrome","PC","Windows","Spain","2","4","FALSO","https://clarity.microsoft.com/player/rkek067fvd/gomqr4/13dy5hw/?ss=1778487912000&sd=313"
"05/11/2026","08:38","08:49","https://drivania.com/es/","https://drivania.com/es/contactenos/","https://www.google.com/","1vyysvf","Chrome","PC","Windows","Spain","4","7","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1vyysvf/g7fiz8/?ss=1778481508000&sd=529"
"05/11/2026","03:34","00:01","https://drivania.com/es/","https://drivania.com/es/","","1dwitnd","Chrome","PC","MacOS","Mexico","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1dwitnd/454ssh/?ss=1778463275000&sd=1"
"05/10/2026","23:50","05:36","https://drivania.com/es/","https://drivania.com/es/","https://www.google.com/","1mp0y1","Chrome","PC","MacOS","Spain","4","7","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1mp0y1/v5gj37/?ss=1778449830000&sd=336"
"05/10/2026","23:40","08:05","https://drivania.com/es/","https://drivania.com/es/","","slpac2","Edge","PC","Windows","United States","1","1","FALSO","https://clarity.microsoft.com/player/rkek067fvd/slpac2/qhf2e3/?ss=1778449220000&sd=485"
"05/10/2026","22:08","05:04","https://drivania.com/es/","https://accounts.drivania.com/sign-in","https://www.google.com/","e2ktg7","Chrome","PC","MacOS","Spain","2","2","FALSO","https://clarity.microsoft.com/player/rkek067fvd/e2ktg7/1czyp2/?ss=1778443724000&sd=304"
"05/10/2026","05:40","02:59","https://drivania.com/es/","https://accounts.drivania.com/sign-in","https://www.google.com/","g1v1e4","Chrome","PC","MacOS","Mexico","2","5","FALSO","https://clarity.microsoft.com/player/rkek067fvd/g1v1e4/1q3hl88/?ss=1778384455000&sd=179"
"05/09/2026","17:56","00:01","https://drivania.com/es/","https://drivania.com/es/","https://www.google.com/","5bd9n8","Chrome","PC","MacOS","Argentina","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/5bd9n8/nunki3/?ss=1778342216000&sd=1"
