"Nombre del proyecto","Drivania"
"Intervalo de fechas","04/12/2026 00:00 - 05/11/2026 23:59"


"Dirección URL visitada es exactamente","https://drivania.com/en/"
"Dispositivo:","PC"

"Total de sesiones","45"

"Dirección URL visitada es exactamente","https://drivania.com/en/"
"Dispositivo:","PC"

"Fecha","Hora","Duración de la sesión","Dirección URL de entrada","Dirección URL de salida","Referente:","Id. de usuario de Clarity","Explorador","Dispositivo","Sistema operativo","País","Recuento de páginas","Clics en la sesión","Favorito","Vínculo de grabación"
"05/11/2026","17:22","21:19","https://drivania.com/en/","https://drivania.com/en/corporate-travel/","https://accounts.drivania.com/","aoxojg","Edge","PC","Windows","United States","3","5","FALSO","https://clarity.microsoft.com/player/rkek067fvd/aoxojg/ytiiza/?ss=1778512927000&sd=1279"
"05/11/2026","17:22","00:31","https://drivania.com/en/","https://accounts.drivania.com/sign-in","https://www.google.com/","fvl55c","Chrome","PC","Windows","Italy","2","3","FALSO","https://clarity.microsoft.com/player/rkek067fvd/fvl55c/zhm82r/?ss=1778512925000&sd=31"
"05/11/2026","16:51","05:12","https://drivania.com/en/","https://drivania.com/en/","","1yva2n8","Chrome","PC","Windows","Italy","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1yva2n8/tr6i0q/?ss=1778511068000&sd=312"
"05/11/2026","16:43","05:05","https://drivania.com/en/","https://accounts.drivania.com/sign-in","","kop9p4","Chrome","PC","Windows","Sweden","2","3","FALSO","https://clarity.microsoft.com/player/rkek067fvd/kop9p4/51xacq/?ss=1778510626000&sd=305"
"05/11/2026","16:18","00:04","https://drivania.com/en/","https://accounts.drivania.com/sign-in","","7s2cnr","Chrome","PC","Windows","Italy","2","3","FALSO","https://clarity.microsoft.com/player/rkek067fvd/7s2cnr/muhdl4/?ss=1778509120000&sd=4"
"05/11/2026","16:16","06:29","https://drivania.com/en/","https://drivania.com/en/locations/","","1sw34lr","Chrome","PC","Windows","United States","2","6","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1sw34lr/erdcw8/?ss=1778508983000&sd=389"
"05/11/2026","14:59","44:49","https://accounts.drivania.com/sign-in","https://drivania.com/en/","https://drivania.com/","mxygem","Edge","PC","Windows","United Kingdom","7","6","FALSO","https://clarity.microsoft.com/player/rkek067fvd/mxygem/1lhj75u/?ss=1778504358000&sd=2689"
"05/11/2026","14:38","21:15","https://drivania.com/en/corporate-travel/","https://drivania.com/en/","https://drivania.com/en/vehicles/","hyhrt7","Chrome","PC","Windows","Saudi Arabia","4","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/hyhrt7/1gxzlz1/?ss=1778503108000&sd=1275"
"05/11/2026","14:28","05:12","https://drivania.com/en/","https://drivania.com/en/","","1yva2n8","Chrome","PC","Windows","Italy","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1yva2n8/1m45y2z/?ss=1778502513000&sd=312"
"05/11/2026","14:27","05:06","https://drivania.com/en/","https://drivania.com/en/","","thdsqj","Edge","PC","Windows","United States","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/thdsqj/1hx3tmm/?ss=1778502443000&sd=306"
"05/11/2026","14:25","05:17","https://drivania.com/en/","https://accounts.drivania.com/sign-in","","kop9p4","Chrome","PC","Windows","Sweden","2","3","FALSO","https://clarity.microsoft.com/player/rkek067fvd/kop9p4/xa62xo/?ss=1778502323000&sd=317"
"05/11/2026","14:06","00:27","https://drivania.com/en/","https://drivania.com/en/","https://www.google.com/","1jnu7gt","Chrome","PC","MacOS","Denmark","2","4","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1jnu7gt/ij9iyz/?ss=1778501206000&sd=27"
"05/11/2026","13:58","22:14","https://drivania.com/en/locations/","https://drivania.com/en/contact-us/","https://drivania.com/en/locations/barcelona/","ooan10","Chrome","PC","Windows","United States","12","63","FALSO","https://clarity.microsoft.com/player/rkek067fvd/ooan10/1em5iea/?ss=1778500717000&sd=1334"
"05/11/2026","13:51","08:00","https://drivania.com/en/","https://accounts.drivania.com/sign-in","https://accounts.drivania.com/","ujwske","Chrome","PC","Windows","Bangladesh","11","35","FALSO","https://clarity.microsoft.com/player/rkek067fvd/ujwske/1p5ncj9/?ss=1778500283000&sd=480"
"05/11/2026","13:44","00:01","https://drivania.com/en/","https://drivania.com/en/","","13chlgx","Chrome","PC","Windows","United Kingdom","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/13chlgx/1a23hbm/?ss=1778499866000&sd=1"
"05/11/2026","13:26","02:59","https://drivania.com/en/","https://drivania.com/en/","","asex4l","Chrome","PC","Windows","India","1","1","FALSO","https://clarity.microsoft.com/player/rkek067fvd/asex4l/1dbams7/?ss=1778498802000&sd=179"
"05/11/2026","12:38","11:44","https://drivania.com/en/","https://drivania.com/en/","","1yva2n8","Chrome","PC","Windows","Italy","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1yva2n8/k8lulh/?ss=1778495909000&sd=704"
"05/11/2026","12:36","01:34","https://drivania.com/en/","https://accounts.drivania.com/sign-in","https://www.google.com/","bs01ex","Chrome","PC","MacOS","United Kingdom","2","2","FALSO","https://clarity.microsoft.com/player/rkek067fvd/bs01ex/vfdnzd/?ss=1778495772000&sd=94"
"05/11/2026","12:25","05:06","https://drivania.com/en/","https://accounts.drivania.com/sign-in","","asex4l","Chrome","PC","Windows","India","2","4","FALSO","https://clarity.microsoft.com/player/rkek067fvd/asex4l/6fh5sq/?ss=1778495148000&sd=306"
"05/11/2026","12:17","05:04","https://drivania.com/en/","https://accounts.drivania.com/sign-in","","13chlgx","Chrome","PC","Windows","United Kingdom","2","2","FALSO","https://clarity.microsoft.com/player/rkek067fvd/13chlgx/1er71h/?ss=1778494666000&sd=304"
"05/11/2026","09:37","05:07","https://drivania.com/en/","https://accounts.drivania.com/sign-in","","1yva2n8","Chrome","PC","Windows","Italy","2","2","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1yva2n8/1dhbp4t/?ss=1778485054000&sd=307"
"05/11/2026","09:23","13:41","https://drivania.com/en/","https://drivania.com/en/","","18vk7re","Chrome","PC","MacOS","Spain","2","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/18vk7re/ce0chc/?ss=1778484218000&sd=821"
"05/11/2026","09:12","05:08","https://drivania.com/en/","https://accounts.drivania.com/sign-in","","2wmqpw","Edge","PC","Windows","Netherlands","2","6","FALSO","https://clarity.microsoft.com/player/rkek067fvd/2wmqpw/1g8b8s4/?ss=1778483524000&sd=308"
"05/11/2026","07:39","05:05","https://drivania.com/en/","https://accounts.drivania.com/sign-in","https://www.google.com/","bs01ex","Chrome","PC","MacOS","United Kingdom","2","3","FALSO","https://clarity.microsoft.com/player/rkek067fvd/bs01ex/11uk3cu/?ss=1778477994000&sd=305"
"05/11/2026","01:35","08:56","https://drivania.com/en/","https://drivania.com/en/","","1hfg6jt","Safari","PC","MacOS","Brazil","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1hfg6jt/yj6fbg/?ss=1778456140000&sd=536"
"05/11/2026","01:16","05:04","https://drivania.com/en/","https://accounts.drivania.com/sign-in","https://www.google.com/","1qxghe7","Chrome","PC","Windows","Australia","2","2","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1qxghe7/7qi6ab/?ss=1778454960000&sd=304"
"05/10/2026","22:50","00:11","https://drivania.com/en/","https://drivania.com/en/","https://suppliers.drivania.com/","6nixl8","Chrome","PC","Windows","United Kingdom","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/6nixl8/bvlq9i/?ss=1778446205000&sd=11"
"05/10/2026","22:35","09:42","https://drivania.com/en/","https://accounts.drivania.com/sign-in","","1hfg6jt","Safari","PC","MacOS","Brazil","2","2","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1hfg6jt/cdcn76/?ss=1778445351000&sd=582"
"05/10/2026","20:58","05:11","https://drivania.com/en/","https://drivania.com/en/","https://www.google.com/","5dj9p6","Chrome","PC","MacOS","United States","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/5dj9p6/13k3ygq/?ss=1778439526000&sd=311"
"05/10/2026","20:34","36:47","https://drivania.com/en/locations/agadir/","https://accounts.drivania.com/sign-up?lang=en","","qqq4wf","Chrome","PC","MacOS","Morocco","14","13","FALSO","https://clarity.microsoft.com/player/rkek067fvd/qqq4wf/1t6unut/?ss=1778438083000&sd=2207"
"05/10/2026","15:31","06:04","https://drivania.com/en/","https://drivania.com/en/chauffeurs/","https://www.bing.com/","1ap317l","Edge","PC","Windows","United Kingdom","4","32","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1ap317l/12po3sm/?ss=1778419913000&sd=364"
"05/10/2026","11:57","16:19","https://drivania.com/en/","https://drivania.com/en/","","5ubhyt","Safari","PC","MacOS","United Kingdom","2","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/5ubhyt/wqgwat/?ss=1778407072000&sd=979"
"05/10/2026","11:23","05:01","https://drivania.com/en/","https://drivania.com/en/","","5ubhyt","Safari","PC","MacOS","United Kingdom","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/5ubhyt/xd8t95/?ss=1778405000000&sd=301"
"05/10/2026","11:02","05:04","https://drivania.com/en/","https://accounts.drivania.com/sign-in","","m40uud","Chrome","PC","Windows","Australia","2","2","FALSO","https://clarity.microsoft.com/player/rkek067fvd/m40uud/1srctp1/?ss=1778403728000&sd=304"
"05/10/2026","10:28","09:25","https://drivania.com/en/","https://accounts.drivania.com/sign-in","","5ubhyt","Safari","PC","MacOS","United Kingdom","2","3","FALSO","https://clarity.microsoft.com/player/rkek067fvd/5ubhyt/1oeq0yv/?ss=1778401723000&sd=565"
"05/10/2026","10:18","00:04","https://drivania.com/en/","https://accounts.drivania.com/sign-in","https://www.google.com/","lmimgh","Chrome","PC","MacOS","United Kingdom","2","2","FALSO","https://clarity.microsoft.com/player/rkek067fvd/lmimgh/1notctw/?ss=1778401134000&sd=4"
"05/10/2026","09:37","00:31","https://drivania.com/en/","https://accounts.drivania.com/sign-in","https://www.google.com/","lmimgh","Chrome","PC","MacOS","United Kingdom","2","2","FALSO","https://clarity.microsoft.com/player/rkek067fvd/lmimgh/sn87pj/?ss=1778398641000&sd=31"
"05/10/2026","06:43","05:03","https://drivania.com/en/","https://accounts.drivania.com/sign-in","https://www.google.com/","bs01ex","Chrome","PC","MacOS","United Kingdom","2","2","FALSO","https://clarity.microsoft.com/player/rkek067fvd/bs01ex/1mv01st/?ss=1778388186000&sd=303"
"05/10/2026","01:02","04:31","https://drivania.com/en/","https://accounts.drivania.com/sign-in","https://accounts.drivania.com/","emhzy3","Chrome","PC","MacOS","Mexico","2","7","FALSO","https://clarity.microsoft.com/player/rkek067fvd/emhzy3/13qx7ch/?ss=1778367720000&sd=271"
"05/09/2026","22:37","02:08","https://drivania.com/en/","https://accounts.drivania.com/sign-in","https://www.google.com/","1kx0wth","Chrome","PC","MacOS","United States","2","2","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1kx0wth/mpntj2/?ss=1778359065000&sd=128"
"05/09/2026","21:21","05:02","https://drivania.com/en/","https://drivania.com/en/","","a1kidv","Chrome","PC","MacOS","United States","1","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/a1kidv/1w9a5v7/?ss=1778354517000&sd=302"
"05/09/2026","16:45","01:11","https://drivania.com/en/","https://accounts.drivania.com/sign-in","","1u4tjc","Safari","PC","MacOS","Mexico","2","1","FALSO","https://clarity.microsoft.com/player/rkek067fvd/1u4tjc/158pafy/?ss=1778337947000&sd=71"
"05/09/2026","13:22","17:33","https://drivania.com/en/","https://drivania.com/en/","https://www.google.com/","3ga5mx","Chrome","PC","MacOS","Philippines","2","0","FALSO","https://clarity.microsoft.com/player/rkek067fvd/3ga5mx/17ln78i/?ss=1778325752000&sd=1053"
"05/09/2026","12:49","42:37","https://drivania.com/en/chauffeurs/","https://accounts.drivania.com/sign-in","https://drivania.com/en/","vgoq6k","Safari","PC","MacOS","United States","14","15","FALSO","https://clarity.microsoft.com/player/rkek067fvd/vgoq6k/f6ldde/?ss=1778323745000&sd=2557"
